idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate,TL_TA,Debt_Assets,EBIT_InterestExpense,EBITDA_InterestExpense,CFO_Liabilities,CFO_DebtService,CurrentRatio,QuickRatio,WC_TA,ROA,OperatingMargin,DaysAR,DaysINV,DaysAP,CashConversionCycle,Accruals,DividendOmission,DebtIssuanceSpike,DebtRepaymentSpike,AltmanZPrime,AltmanZDoublePrime,OhlsonOScore,OhlsonOScoreProb,ZmijewskiXScore,SpringateSScore,TafflerZScore,FulmerHScore,GroverGScore,BeneishMScore,PiotroskiFScore,AIExpectedLikelihoodOfBankruptcyBase,AIExpectedLikelihoodOfBankruptcyExtended,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGROK,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGROKExplanation,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGROK,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGROKExplanation,AIExpectedLikelihoodOfBankruptcyAnnualReport,AIExpectedLikelihoodOfBankruptcyAnnualReportExplanation,BankruptcyIndicatingWordsCount,SolvencyIndicatingWordsCount,TotalCharactersCount,BankruptcyIndicatingWordsCountAdvanced,SolvencyIndicatingWordsCountAdvanced,AIExpectedLikelihoodOfBankruptcyAnnualReportStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyAnnualReportStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyAnnualReportMoreCharacters,AIExpectedLikelihoodOfBankruptcyAnnualReportMoreCharactersExplanation,BankruptcyIndicatingWordsCountAdvancedRobust,SolvencyIndicatingWordsCountAdvancedRobust
5148,1455684,2024,804080000,503075000,,926384000,386421000,,804080000,121952000,470000,-536348000,,,,,,55541000,,,,13405000,2528000,,32137000,-65305000,,-124208000,-2.96,-2.96,41959000,41959000,-62272000,-18832000,-14597000,,216236000,18832000,0,,,0,35788000,9420000,138029000,,2807000,2442000,128808000,,,,,,,,,,,,,,,1.5389969731278,0,-43.004351265823,-31.183544303797,0.011727503049639,4.9438291139241,0.93907183607332,0.93069996286669,-0.04170325099933,-0.34760940640958,,,,,,-0.33838630872196,0,0,0,-1.6152559470382,-5.3545725485724,-0.38770556015459,0.40426976218995,6.0402813630161,-0.52493615552577,,,-0.54066752928672,,2,18,50,94,"liabilities>assets; adequate liquidity; net loss",70,"Net loss and negative operating cash flow despite positive equity",56,"low Altman Z, Zmijewski>0, low F-score 2",70,"Liabilities exceed assets and negative cash flows",15,"TPI Composites is an established manufacturer with decent market cap, governance in place and restructuring actions; cyclical demand and past restructuring raise modest near‑term risk.",0,9,215757,566,189.5,70,"Wind-blade manufacturer TPI Composites reported a net loss attributable to common stockholders of about $240.7 million in 2024 and continued losses from continuing operationshttps://www.sec.gov/Archives/edgar/data/1455684/000119312525107184/d940826d10ka.htm#:~:text=The%20following%20table%20reconciles%20net",8,"Large, diversified public manufacturer (TPI) with established revenues, governance, and ongoing operations; low near‑term bankruptcy risk.",559,189.5
5269,1136893,2024,55105000000,13788000000,,36006000000,18318000000,,55105000000,19093000000,6000000,-22864000000,,6000000,,,,3461000000,,2182000000,,1176000000,,,314000000,-16752000000,,,-27.74,-27.74,604000000,604000000,,,,,440000000,227000000,,1138000000,,,,,1738000000,,16816000000,1823000000,695000000,12970000000,4760000000,,,,,,,,,,,,,0.53528297418897,0.30552924461283,,,0,,0.85100098457499,0.85100098457499,-0.026876627989581,0.0083175467677007,,,,,,0.0063224920968849,0,0,0,-0.1672598946451,-1.3142833353577,-7.9093879716793,0.0003671444525966,-1.2829120036393,0.017207553871655,,,0.06229481411319,,4,60,45,90,"moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss",72,"moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss",95,"moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss",71,"moderate leverage TL/TA 0.65; low current ratio 0.75; thin cash/CL 0.75; negative ROA -30.4%; net loss",3,"Large, diversified, profitable enterprise (FIS) with strong market cap, stable funding and long-dated debt—very low near-term insolvency risk.",9,20,482836,698,196.5,20,"Fidelity National Information Services (FIS) is a large payment-processing firm with strong revenues, cash flow and investment-grade credit; low bankruptcy risk.",3,"Large, diversified fintech (FIS) with strong scale, investment-grade market value, recurring revenue and robust regulatory oversight; bankruptcy within a year unlikely absent extreme shock.",698,190.5
3641,320017,2024,54694000,53924000,,6800000,6590000,,54694000,48148000,8000,-528081000,,-254000,,,,,6844000,3665000,,-6844000,,,0,-6187000,,,-0.77,-0.77,7987000,7987000,-8196000,4289000,-85000,,22593000,,297000,,,,48000,,0,2421000,,400000,175000,,,,,,,,,,,,,,,0.16241929032627,0,,,-3.4047493403694,,6.1603420630679,6.1603420630679,0.82752414147763,-0.57096737329295,,,,,,-0.014025151623261,0,0,0,-12.473604905502,-44.457577774297,-0.57720861888246,0.35957514302498,-0.78021549706971,-1.1131272498714,,,-0.74776047083024,,1,60,70,10,"operating loss; net loss; neg. operating cash flow",60,"negative net income, negative operating cash, large accumulated losses",32,"low Altman Z (< -10",40,"Negative ROA and cash flows but strong liquidity and low Ohlson probability",10,"Clinical-stage biotech with promising Phase 2 signals, Nasdaq listing, modest market cap; primary risk is funding needs but no immediate insolvency indicators.",9,5,483377,628.5,230,50,"LSTA (Lisata or similar) is a relatively small company with moderate revenues and some debt; bankruptcy risk is moderate.",22,"Lisata Therapeutics (LSTA) — clinical-stage biotech with no commercial revenue, limited market cap and dependency on R&D funding; typical biotech financing risk raises short-term bankruptcy probability but ongoing trials and partnerships mitigate some downside.",626.5,212
9097,1652044,2024,450256000000,163711000000,,125172000000,89122000000,,450256000000,325084000000,,245084000000,,,,,,,,,49326000000,112390000000,80000000,,19697000000,100118000000,,100118000000,8.13,8.04,12319000000,12447000000,125299000000,-45536000000,-79733000000,,23466000000,52535000000,,0,,,,,52340000000,7987000000,31885000000,,171036000000,10883000000,,,,,,,,,,,,,,0.27800184783767,0.024170694005188,,,1.001014603905,,1.8369313974103,1.8369313974103,0.16565909171671,0.22235794747877,,,,,,-0.059065405653916,0,0,0,2.4461484738078,7.2655679670165,-12.829954694149,2.6792936182959E-6,-3.7086525053901,0.93694247272663,,,1.176464309193,,4,2,1,6,"low leverage; equity cushion; ample liquidity",5,"Strong positive net income, robust operating cash flow, and substantial positive equity",24,"low F-score 3, Zmijewski<0, current ratio>1.5",5,"Strong profitability and liquidity indicate very low risk",1,"Alphabet is a massive, highly profitable, cash-rich tech conglomerate with strong market position and diverse revenue — bankruptcy within a year is effectively negligible.",1,65,383864,491.5,180,5,"Alphabet generates tens of billions of dollars of net income and holds over $100 billion of cash; virtually no bankruptcy risk.",1,"Alphabet (Google): extremely strong cash flows, market capitalization, diversified businesses and low leverage—negligible bankruptcy risk within a year.",491.5,177
6457,1840502,2024,1707802000,559412000,1148390000,,423965000,226775000,1707802000,767571000,0,-150460000,,,,,,464253000,477918000,,129276000,-13665000,,,7523000,-11975000,,-11975000,-0.05,-0.05,333424276,333424276,53484000,-139561000,-62873000,,176108000,34914000,,,,,91221000,,306307000,,555931000,125258000,72155000,,,,,,,,,,,,,,,0,0,,,,,1.3509582315654,1.3509582315654,0.099158180394238,-0.0021877534681129,,,,,,-0.10978736071631,0,0,0,,,,,-4.2847512764672,0.14842787803042,,,0.27197760345572,,4,30,50,50,"low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss",40,"low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss",55,"low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss",41,"low leverage TL/TA 0.00; adequate current ratio 1.32; negative ROA -0.7%; net loss",8,"Public adtech company with substantial scale, diversified revenues and Nasdaq listing; execution/market risks but low near-term insolvency probability.",1,46,496622,568,385,40,"Taboola is a digital advertising company facing competitive pressure and modest profitability; moderate bankruptcy risk.",,,566,374.5
660,1551182,2024,35014000000,11675000000,,,7747000000,11616000000,38432000000,19036000000,,10305000000,,33000000,,,,,,3227000000,665000000,,,,445000000,2462000000,,,6.17,6.14,398700000,400800000,2533000000,-1200000000,-1340000000,,488000000,598000000,,1299000000,2012000000,1995000000,,3739000000,,3365000000,14796000000,5485000000,3146000000,,8000000,,,,,,,,,,,,,0,0,,,,4.2630541871921,1.5019727631411,0.96398116329388,0.10275917771814,0.098850993981397,,,,,,-0.013877859216539,0,0,1,,,,,-4.7388215818637,0.47074489982022,,,0.62957351293609,,5,35,30,35,"low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit",28,"low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit",40,"low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit",30,"low leverage TL/TA 0.00; adequate current ratio 1.51; positive ROA 7.0%; net profit",8,"ETN report appears to be a large diversified industrial with extensive debt maturities but no distress indicators; low near-term bankruptcy risk.",0,51,355965,319,292.5,15,"Eaton is a diversified power management company with strong profits and cash generation; low bankruptcy risk.",3,"Global diversified industrial (Eaton) with strong revenues, market leadership and broad diversification; bankruptcy extremely unlikely within a year.",317,291.5
3388,94049,2024,2433172000,851883000,,,607870000,,2363354000,1166065000,27006000,1257466000,,,,,,427069000,218447000,,40902000,207336000,,,41550000,147153000,,,6.46,6.38,22781000,23064000,160763000,-308090000,166209000,,129823000,301553000,,30573000,,,,265558000,,233031000,95922000,52571000,1206665000,401248000,,,,,,,,,,,,,,0,0.14433093470239,,,,,1.2113420244711,0.77979146052368,0.0613521023601,0.021855832213857,,,,,,-0.047850450792438,0,0,0,,,,,-4.3935058768645,0.15707841284222,,,0.26198130300159,,5,5,88,31,"IC 10.0; ROA 6.0%; strong CFO",10,"Positive equity, net income, and cash flows",40,"low leverage TL/TA 0.00; adequate current ratio 1.40; thin cash/CL 0.96; positive ROA 6.0%; net profit",15,"Positive profitability and adequate liquidity suggest low risk",5,"Large, diversified, profitable specialty chemical company with strong market cap and established operations; low short-term bankruptcy risk.",2,37,427546,373,217,20,"Stepan Company is a specialty chemicals producer with steady earnings and manageable leverage; low bankruptcy risk.",4,"Stepan Company — diversified specialty chemicals company, stable operations, strong disclosure and NYSE listing; low near-term bankruptcy risk.",370.5,215
4433,1376231,2024,3191246,3042974,,2576936,2083630,,3191246,,8065481,-7485894,,,3081021,,,523673,404665,404665,,119008,76085,,879803,25314,,25314,0,0,88804035,88804035,281528,-30000,-200531,,1767260,,,,,,,563503,337774,,,29833,,,,,,,,,,,,,,,,0.73913111378255,0,-3.6327648562368,-3.6327648562368,0.13468125639087,0.72675448365098,1.4434371399659,1.1116478006983,0.29411239154358,-0.052016953523086,,,,,,-0.14040105937164,0,0,0,-3.6713337247268,-10.40613849009,-2.4932466553955,0.076332972757473,0.15289738797426,-1.2246886369992,,,-1.1507042561769,,2,16,50,32,"high leverage TL/TA 0.81; net profit",25,"Small positive net income, cash flow, and adequate liquidity",65,"Low Ohlson 3%; Z'=-1.66; X=0.27",45,"small positive ROA, high leverage, distress Altman, low Ohlson prob",40,"VPR Brands (vaping) faces heavy regulatory, market and litigation risk, small market cap and uncertain revenue trends — elevated but not imminent bankruptcy risk.",30,11,374713,431.5,98.5,80,"VPR Brands is a micro‑cap e‑cigarette/vaporizer company with small revenue and recurring losses; high bankruptcy risk.",40,"Small consumer products/holding LP with limited revenues, customer/regulatory risks, history of financings and legal actions but operating business and distribution reduce immediate insolvency risk.",427.5,94.5
7469,1070680,2024,2058615000,,,1903241000,,,2058615000,125330000,,76517000,,,,,,,,,,,11443000,,4428000,18164000,,18164000,2.84,2.78,6397053,6535160,39764000,-353321000,298753000,,261595000,905000,22500000,,,,,,,,,,3812000,,,,,,,,,,,,,,,0.91845309880355,0,2.410818841213,2.410818841213,0.0074793657219546,1.2399720353054,,,0,0.0064811672394837,,,,,,-0.00038892975938245,0,0,0,0.11499223274026,0.32232596604632,,,,,,,0.10235991901325,,4,,4,32,"high leverage TL/TA 0.92; net profit",15,"Positive net income and cash flow from operations",69,"Z'=0.11; X=0.93; Z''=0.30",50,"high leverage, low interest coverage, small positive ROA, distress Altman",8,"Regional community bank with $2.1B assets and $168M equity; regulated, diversified deposits, no distress signals in excerpt.",20,42,514197,742.5,211.5,40,"CFBK (Central Federal Bank) is a small community bank; profitability depends on local economic conditions, giving moderate bankruptcy risk.",5,"Well-capitalized regional bank with $2.1B assets, $168M equity, modest loan growth, stable ACL; main risks are concentration in Ohio and loan credit trends but capital/liquidity appear adequate.",737.5,208
1364,1889112,2024,174582232,330034,,18869986,1530978,,174582232,-18038139,,-18540527,,,,,,,,,,-239315,,,,3710757,,,,,,,-121886,77136562,-70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24352036230012,0,,,-0.039334284462269,,0.12623539516825,0.12623539516825,-0.035734261140512,0.096530564919641,,,,,,0.069493235469451,0,0,0,-0.67650196624006,-2.1211752007384,-8.1070746522808,0.00030130846835928,-3.345816535447,-0.074244859715805,,,-0.045017712038679,,3,85,85,45,"negative equity, CR 0.22<1, neg. operating cash flow",90,"Negative equity, losses, and negative cash flow",60,"low leverage TL/TA 0.11; low current ratio 0.22; thin cash/CL 0.22; positive ROA 2.1%; net profit",50,"Losses and low liquidity pose moderate risk",20,"SPAC (Cartesian Growth II) with substantial trust funds but ongoing need to complete a business combination and periodic sponsor deposits—moderate risk tied to deal execution and sponsor support.",99,31,412651,464,135.5,60,"Company (TMB) is a small, recently public firm with limited track record and uneven earnings; higher bankruptcy risk.",10,"SPAC with large trust balance ($83.8M) and sponsor support; extension payments and sponsor notes reduce near-term liquidation risk.",459.5,130
