idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate,TL_TA,Debt_Assets,EBIT_InterestExpense,EBITDA_InterestExpense,CFO_Liabilities,CFO_DebtService,CurrentRatio,QuickRatio,WC_TA,ROA,OperatingMargin,DaysAR,DaysINV,DaysAP,CashConversionCycle,Accruals,DividendOmission,DebtIssuanceSpike,DebtRepaymentSpike,AltmanZPrime,AltmanZDoublePrime,OhlsonOScore,OhlsonOScoreProb,ZmijewskiXScore,SpringateSScore,TafflerZScore,FulmerHScore,GroverGScore,BeneishMScore,PiotroskiFScore,AIExpectedLikelihoodOfBankruptcyBase,AIExpectedLikelihoodOfBankruptcyExtended,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGROK,AIExpectedLikelihoodOfBankruptcyBaseStrongerModelGROKExplanation,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGROK,AIExpectedLikelihoodOfBankruptcyExtendedStrongerModelGROKExplanation,AIExpectedLikelihoodOfBankruptcyAnnualReport,AIExpectedLikelihoodOfBankruptcyAnnualReportExplanation,BankruptcyIndicatingWordsCount,SolvencyIndicatingWordsCount,TotalCharactersCount,BankruptcyIndicatingWordsCountAdvanced,SolvencyIndicatingWordsCountAdvanced,AIExpectedLikelihoodOfBankruptcyAnnualReportStrongerModelGPT,AIExpectedLikelihoodOfBankruptcyAnnualReportStrongerModelGPTExplanation,AIExpectedLikelihoodOfBankruptcyAnnualReportMoreCharacters,AIExpectedLikelihoodOfBankruptcyAnnualReportMoreCharactersExplanation,BankruptcyIndicatingWordsCountAdvancedRobust,SolvencyIndicatingWordsCountAdvancedRobust
9900,1735707,2024,2527000000,1406000000.0,,3262000000.0,1374000000.0,,2527000000.0,-468000000.0,0.0,-1922000000.0,,,3603000000.0,,,683000000.0,,216000000.0,,,27000000.0,,106000000.0,390000000.0,,49000000.0,0.75,0.75,64708635.0,65075992.0,375000000.0,-91000000.0,-482000000,,259000000.0,91000000.0,,83000000.0,,,,263000000.0,,1074000000.0,193000000.0,,477000000.0,1643000000.0,,,,,,,,,,,,,,1.2908587257618,0.65017807677087,19.37037037037,19.37037037037,0.11496014714899,13.888888888889,1.0232896652111,0.83187772925764,0.012663237039968,0.15433320142461,,,,,,0.0058094500387297,0,0,0,-0.052354463638201,-1.1562789173068,-4.5346730513796,0.010616495544939,2.3674884890922,0.64842500989315,-1.5294524882344,3.8451785589989,0.77993312227938,-4.8513856280823,3,16.0,15,81,"L/A 1.29 high; negative equity; profit; pos operating cash flow",65,"Negative equity and high long-term debt despite positive net income and operating cash flow",43,"Ohlson 1% Z' -0.05 L/A 1.29 CR 1.02",40,"Positive ROA but negative equity suggests moderate risk",18,"Gartner? (GTX): substantial debt facilities, diverse global operations and hedging, creditor arrangements and sizable assets — leverage and financing risk present but low near-term default probability.",44,48,413269,403,301.5,10,"Positive net income of about $282 million in 2024 and strong EBITDA indicate healthy profitability and cash flow, making bankruptcy unlikely.",22,"Large accelerated industrial company with diversified revenues, substantial debt facilities and significant pension/hedging complexity; cyclical auto markets and leverage raise short-term risk modestly.",401,296.5
7304,1058307,2024,64469000,43638000.0,,16382000.0,14237000.0,,64469000.0,32184000.0,2000.0,-34925000.0,,15903000.0,,,,621000.0,1859000.0,788000.0,,-1238000.0,5000.0,,0.0,-1187000.0,,-1187000.0,-0.08,-0.12,14415000.0,14415000.0,-2067000.0,-69000.0,-13000,,26307000.0,69000.0,6000000.0,,,,162000.0,5135000.0,8923000.0,12142000.0,731000.0,14423000.0,3989000.0,,,,,,,,,,,,,,,0.25410662488948,0.0,-247.6,-215.2,-0.126175070199,-413.4,3.0651120320292,2.7044321135071,0.4560486435341,-0.018411949929423,,,,,,0.018902160783326,0,0,0,0.63360503975587,3.159409456794,-7.2044330275294,0.0007427314379383,-2.7564780153194,0.41077680745785,-1578.0275293746,,0.74440774635872,-5.0762598675521,1,85.0,85,62,"L/A 0.25 low; current ratio 3.1; net loss; operating loss",36,"low leverage TL/TA 0.25; healthy current ratio 3.07; ample cash/CL 2.70; negative ROA -1.8%; net loss",36,"Ohlson 0% Z' 0.63 L/A 0.25 CR 3.07",38,"low leverage TL/TA 0.25; healthy current ratio 3.07; ample cash/CL 2.70; negative ROA -1.8%; net loss",40,"Small-cap NextPlat with recent acquisitions, low market cap (~$19M), history of conversions and warrants, reliance on e‑commerce/healthcare segments and concentrated marketplace channels — moderate near-term distress risk.",12,9,526612,692.5,270,60,"The company has incurred net losses (~$23 million in 2024) and an accumulated deficit; it expects additional losses and may need new funding.",60,"NextPlat: Small, loss‑making company with recent acquisitions, concentrated suppliers/customers, recurring losses and limited market cap (~$19M) suggesting elevated one‑year bankruptcy risk without financing or rapid cash generation.",691.5,264.5
4202,1724521,2024,1095000000,831000000.0,,,184000000.0,,1095000000.0,842000000.0,1311000000.0,-849000000.0,,,112000000.0,,,,392000000.0,,288000000.0,-280000000.0,,,1000000.0,-267000000.0,,,-3.71,-3.71,72000000.0,72000000.0,438000000.0,-413000000.0,33000000,,238000000.0,6000000.0,0.0,,,0.0,6000000.0,,,17000000.0,,,51000000.0,,,,,,,,,,,,,,,0.0,0.0,,,,,4.5163043478261,4.5163043478261,0.59086757990868,-0.24383561643836,,,,,,-0.57786885245902,0,0,0,-1.0275470319635,-0.36988127853881,,,-3.1846745086361,-0.17642922374429,-1140.0104634703,,0.16540365296804,-7.6884093963462,2,10.0,22,55,"current ratio 4.5; net loss; operating loss; pos operating cash flow",50,"large net loss, but positive equity and operating cash",58,"Z' -1.03 CR 4.52 ROA -24.4% CFO/A 40.0%",60,"Negative ROA with good liquidity but low Altman scores",,,3,3,537815,563.5,217,40,"Large net losses ($283 million) but with $992 million of cash and strategic partnerships the company can fund operations for the near term.",6,"Arcus (biotech) — large collaboration funding, $825M market cap mid-2024, diversified pipeline and Gilead partnership; clinical risk remains but near-term bankruptcy unlikely.",562.5,203
781,1944831,2024,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,35.0,35.0,0.0,,1020,,0.0,,1020.0,,,,,,,,,,,242746000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,-4.3,0.0,3.2,,0.057,,0,85.0,15,82,"no/zero assets; liabilities w/o assets; pos operating cash flow; very small size",50,"Zero assets, liabilities, and operations suggest inactivity and uncertain viability",22,"logA 0.00",80,"No assets or operations suggest high risk of discontinuation",40,"Willow Tree Capital: newly formed BDC with small asset base (~$389M post-mergers), levered credit strategy, dependence on capital raising and portfolio credit risk.",63,42,599725,691.5,203.5,50,"An investment-oriented entity with complex holdings; limited financial disclosure raises moderate risk due to potential leverage.",20,"Investment/BDC vehicle with external manager, modest operating history, reliance on capital markets and leverage but diversified portfolio acquisitions and institutional support — moderate but not immediate bankruptcy risk.",687.5,195.5
10362,1108426,2024,9257377000,475543000.0,,7842025000.0,1230760000.0,,10252605000.0,2349093000.0,1624823000.0,787110000.0,,49958000.0,2249555000.0,,,186711000.0,,,,393760000.0,40923000.0,,26130000.0,,,169530000.0,1.97,1.97,86122000.0,86169000.0,567284000.0,-950347000.0,386037000,,2215000.0,,0.0,,,,,98034000.0,126291000.0,205175000.0,278297000.0,,,4241642000.0,261900000.0,,,,,,,,,,,,,0.84711090409303,0.48648142989099,9.6219729736334,9.6219729736334,0.07233896856998,13.86222906434,0.38638158536189,0.30672836296272,-0.081580019912768,0.0,,,,,,-0.063297891985734,0,0,0,0.27149060731629,0.34237989737423,-5.2394569495429,0.0052751610284848,0.53007767967171,0.046554190242009,1.9317043735114,7.7821651273573,0.067181176590302,-5.0746707993315,2,25.0,8,57,"L/A 0.85 elevated; neg working capital; operating profit; pos operating cash flow",72,"moderate-high leverage TL/TA 0.85; low current ratio 0.39; thin cash/CL 0.31; positive ROA 0.0%",44,"Ohlson 1% Z' 0.27 L/A 0.85 CR 0.39",71,"moderate-high leverage TL/TA 0.85; low current ratio 0.39; thin cash/CL 0.31; positive ROA 0.0%",6,"Large regulated utility (PNM) with significant diversified operations and debt markets access; regulatory framework and cash flows make bankruptcy highly unlikely within a year.",8,26,874239,458,437,5,"Regulated electric utility with stable revenues and earnings provides strong assurance against insolvency.",15,"PNM (utility) with extensive regulated asset base and diversified financing but high leverage, large debt maturities and complex financings—low near‑term bankruptcy probability but material refinancing risk.",447,436
429,1834105,2024,44633000,332000.0,,16371000.0,13136000.0,,44633000.0,25222000.0,10000.0,-12961000.0,,3040000.0,,,,,803000.0,40000.0,179000.0,-803000.0,101000.0,,33000.0,-849000.0,,-657000.0,-0.01,-0.01,70496041.0,,-1014000.0,-4000.0,1017000,,1000.0,,3726000.0,,,1763000.0,280000.0,,128000.0,832000.0,46400000.0,,287000.0,,,,,,,,,,,,,,,0.36679138753837,0.0,-7.950495049505,-5.1782178217822,-0.061938794209272,-10.039603960396,0.025274056029233,0.025274056029233,-0.28687294154549,-0.019021800013443,,,,,,0.0036212004828267,0,0,0,0.13952624276827,-1.3317765558289,-2.6295273325572,0.067262098689945,-2.1235898947467,-0.35071202921605,484.14438239829,,-0.47727795577263,-4.6876785977325,3,40.0,30,90,"L/A 0.37 low; neg working capital; net loss; operating loss",64,"low leverage TL/TA 0.37; low current ratio 0.03; thin cash/CL 0.03; negative ROA -1.9%; net loss",44,"Ohlson 7% Z' 0.14 L/A 0.37 CR 0.03",64,"low leverage TL/TA 0.37; low current ratio 0.03; thin cash/CL 0.03; negative ROA -1.9%; net loss",35,"Early-stage biotech with recent IPO, limited revenues, R&D pipeline and licensing potential but financing and commercialization risks.",36,10,250468,237.5,98,80,"Net loss widened to about $24.8 million and auditors raised substantial doubt about its ability to continue as a going concern.",60,"Small biotech IPO (Impact BioMedical) with no meaningful revenues, operating losses, limited cash runway despite IPO and high execution/regulatory risk.",231.5,95
3608,1571996,2024,89611000000,42351000000.0,,92636000000.0,51654000000.0,,89611000000.0,-3122000000.0,,-6732000000.0,,97000000.0,101197000000.0,,,21891000000.0,17232000000.0,14655000000.0,2577000000.0,4659000000.0,1542000000.0,,981000000.0,5563000000.0,,4948000000.0,1.42,1.37,762000000.0,791000000.0,10307000000.0,1306000000.0,-16609000000,,8607000000.0,2796000000.0,,,,,,4776000000.0,12482000000.0,18598000000.0,19676000000.0,6468000000.0,6209000000.0,23015000000.0,,,,,,,,,,,,,,1.0337570164377,0.25683230853355,3.0214007782101,3.0214007782101,0.11126343969947,6.6841763942931,0.81989778139157,0.7274364037635,-0.10381537980828,0.062079432212563,,,,,,-0.052032948350937,0,0,0,0.009316223874938,-0.6119402155523,-7.2234513709451,0.0007287495876003,1.316337139864,0.052683710705159,-1.8132753467458,9.0016176573348,0.06169002689402,-5.0085125349254,5,60.0,60,75,"L/A 1.03 elevated; negative equity; neg working capital; profit",70,"Negative equity and high leverage despite profitability",43,"Ohlson 0% Z' 0.01 L/A 1.03 CR 0.82",60,"Negative equity and low liquidity offset positive profitability, moderate-high risk",5,"Dell is a large, diversified, cash‑generative company with substantial debt but strong liquidity and low one‑year bankruptcy probability.",8,63,587083,554,226.5,5,"A large technology hardware and services firm reporting net income over $3 billion and strong cash flow, making bankruptcy extremely unlikely.",2,"Dell Technologies: very large, profitable global tech company with diverse revenue streams and significant liquidity; bankruptcy extremely unlikely next year.",548,221
1485,1552797,2024,1642246000,76269000.0,,,90590000.0,1713525000.0,1642246000.0,,,,,,,,,,85438000.0,34181000.0,,209682000.0,32581000.0,,382000.0,159052000.0,,,,,,,192168000.0,-770437000.0,581947000,,3755000.0,141098000.0,,,,,2778000.0,2264000.0,,26290000.0,27051000.0,59536000.0,936151000.0,1673789000.0,,,,,,,,,,,,,,0.0,1.0192072320468,6.4357140664805,6.5209784843927,,5.8981615051717,0.84191411855613,0.81692239761563,-0.0087203744140646,0.096850289177139,,,,,,-0.019940118228114,0,0,0,0.39044930966493,0.80080406954865,,,-4.7324586448229,0.38299567178121,65.804612568996,6.3111599001364,0.47568456126549,-4.8172716470914,5,4.0,9,37,"neg working capital; profit; operating profit; pos operating cash flow",80,"Implied negative equity despite positive net income, high liabilities",53,"Z' 0.39 CR 0.84 ROA 9.7% IC 6.44",35,"positive ROA, good interest coverage, but high debt-to-assets and low TL_TA",8,"Delek Logistics (midstream MLP) with stable cash flows, material debt and credit constraints but predictable assets and financing access; moderate covenant risks but low imminent default likelihood.",5,62,683093,566.5,273,15,"Midstream energy partnership generating steady distributable cash flow but with leverage; overall bankruptcy risk is low.",18,"Delek Logistics (DKL) — established midstream MLP with diversified assets, long-term contracts (many with Delek Holdings), sizable market cap and liquidity; leverage and commodity exposure present moderate risk.",561.5,268.5
7436,1425287,2024,141674724,93825478.0,,58562553.0,53282027.0,,141674724.0,108586931.0,285981.0,-751568251.0,,,,,,-3634704.0,21914692.0,14689843.0,7224849.0,-25549396.0,,,0.0,-24999037.0,,,-0.15,-0.15,167144351.0,167144351.0,-32749402.0,-5404727.0,17988404,,25845915.0,5404727.0,18592188.0,,,,,45408192.0,4470209.0,12456272.0,,,37876955.0,,,,,,,,,,,,,,,0.41335921713177,0.0,,,-0.55922087276489,,1.7609217081775,0.90869827456076,0.28617278972077,-0.17645375472904,,,,,,0.047780234980698,0,0,0,-4.0695982133961,-14.681594445876,-5.315698990239,0.0048898150438987,-1.1427668792355,-0.25888097858585,3.1887434173623,,-0.081863621445982,-4.7015374511019,0,3.0,10,75,"net loss; operating loss; neg operating cash flow; accumulated deficit",60,"Net losses and negative cash flow but adequate liquidity",37,"Ohlson 0% Z' -4.07 L/A 0.41 CR 1.76",75,"negative ROA, losses, distress Altman, low Ohlson prob",60,"Workhorse Group: small EV manufacturer, repeated Nasdaq compliance/going-concern mentions, limited liquidity and need for financing — material risk of failure within a year.",1,0,110287,417.5,158.5,85,"Electric-truck manufacturer with persistent operating losses and cash burn; going‑concern warnings suggest very high bankruptcy risk.",,,412.5,156
1804,1099219,2024,687584000000,,,657331000000.0,,,687584000000.0,30015000000.0,12000000.0,40146000000.0,,238000000.0,68770000000.0,,,,11859000000.0,,,5978000000.0,,,1062000000.0,5284000000.0,,5099000000.0,6.35,6.3,803200000.0,808900000.0,13044000000.0,-2620000000.0,-9948000000,,20639000000.0,,,,,,,,,,9535000000.0,,,,119000000.0,,,,,,,,,,,,,0.95600101223996,0.0001730697631125,,,0.019843883827174,,,,0.0,0.0076848792293014,,,,,,-0.011490712661107,0,0,0,0.095644750770696,0.2967118937974,,,1.1146238132359,0.026691226090194,3.2,,0.086472134313771,-4.4888066970726,4,15.0,3,39,"L/A 0.96 elevated; thin equity; profit; operating profit",5,"Large positive equity, strong profitability and cash flows",71,"Z' 0.10 L/A 0.96 ROA 0.8% CFO/A 1.9%",20,"High leverage but positive earnings and low debt suggest moderate risk",5,"Large diversified insurance company (MetLife-like) with regulatory structure and broad operations; bankruptcy within a year highly unlikely.",37,174,1450019,2005,896,5,"Large diversified insurer with strong capital and earnings; bankruptcy risk is minimal.",6,"Large diversified insurer (MetLife) with global operations, strong capital markets access and regulatory oversight; insurance risks present but low short-term bankruptcy risk.",2005,891
