[10:04:53] Starting annual report AI processing…
[10:04:53] Reading report CSV files …
[10:04:53] Fetching 200 annual report(s)…
[10:04:53]   Downloading report for CIK 0001735707 (2024)…
[10:04:54]   Truncated report for CIK 0001735707 to 50016 characters.
[10:04:54]   Downloading report for CIK 0001058307 (2024)…
[10:04:54]   Truncated report for CIK 0001058307 to 50016 characters.
[10:04:54]   Downloading report for CIK 0001724521 (2024)…
[10:04:54]   Truncated report for CIK 0001724521 to 49916 characters.
[10:04:54]   Downloading report for CIK 0001944831 (2024)…
[10:04:54]   Truncated report for CIK 0001944831 to 50015 characters.
[10:04:54]   Downloading report for CIK 0001108426 (2024)…
[10:04:54]   Truncated report for CIK 0001108426 to 50016 characters.
[10:04:54]   Downloading report for CIK 0001834105 (2024)…
[10:04:55]   Truncated report for CIK 0001834105 to 49879 characters.
[10:04:55]   Downloading report for CIK 0001571996 (2024)…
[10:04:55]   Truncated report for CIK 0001571996 to 50016 characters.
[10:04:55]   Downloading report for CIK 0001552797 (2024)…
[10:04:55]   Truncated report for CIK 0001552797 to 49967 characters.
[10:04:55]   Downloading report for CIK 0001425287 (2024)…
[10:04:55]   Truncated report for CIK 0001425287 to 49888 characters.
[10:04:55]   Downloading report for CIK 0001099219 (2024)…
[10:04:55]   Truncated report for CIK 0001099219 to 50016 characters.
[10:04:55]   Downloading report for CIK 0001811999 (2024)…
[10:04:55]   Truncated report for CIK 0001811999 to 49887 characters.
[10:04:55]   Downloading report for CIK 0002012839 (2024)…
[10:04:56]   Truncated report for CIK 0002012839 to 50016 characters.
[10:04:56]   Downloading report for CIK 0002024203 (2024)…
[10:04:56]   Truncated report for CIK 0002024203 to 49936 characters.
[10:04:56]   Downloading report for CIK 0001096343 (2024)…
[10:04:56]   Truncated report for CIK 0001096343 to 50016 characters.
[10:04:56]   Downloading report for CIK 0001372299 (2024)…
[10:04:56]   Truncated report for CIK 0001372299 to 50016 characters.
[10:04:56]   Downloading report for CIK 0001091667 (2024)…
[10:04:56]   Truncated report for CIK 0001091667 to 50016 characters.
[10:04:56]   Downloading report for CIK 0001868573 (2024)…
[10:04:56]   Truncated report for CIK 0001868573 to 49929 characters.
[10:04:56]   Downloading report for CIK 0001556727 (2024)…
[10:04:57]   Truncated report for CIK 0001556727 to 49985 characters.
[10:04:57]   Downloading report for CIK 0001442999 (2024)…
[10:04:57]   Truncated report for CIK 0001442999 to 49968 characters.
[10:04:57]   Downloading report for CIK 0002020385 (2024)…
[10:04:57]   Truncated report for CIK 0002020385 to 49956 characters.
[10:04:57]   Downloading report for CIK 0001576018 (2024)…
[10:04:57]   Truncated report for CIK 0001576018 to 50016 characters.
