BankruptcyDate,FilingDate,FilingType,BankruptcyChapter,CourtName,CaseNumber,AccessionNumber,FilingURL,CIK,CompanyName,exchange,IndustrySICCode,FiscalYearEnd,BusinessAddressState,BusinessAddressZIPCode,BusinessAddressCity,BusinessAddressStreet,BusinessAddressHouseNumber,StateOfIncorporation,Website,InvestorWebsite,SIC,SICDescription
2024-05-29,2024-05-29,8-K,"Chapter 11","United States Bankruptcy Court for the Southern District of New York, Case",20-12212,0000950142-24-001466,https://www.sec.gov/Archives/edgar/data/1735707/000095014224001466/0000950142-24-001466.txt,0001735707,"Garrett Motion Inc.  (GTX)  (CIK 0001735707)",Nasdaq,3714,,,,ROLLE,"PIECE 16",LA,DE,,,3714,"Motor Vehicle Parts & Accessories"
2024-12-17,2024-12-18,8-K,,,,0001437749-24-037851,https://www.sec.gov/Archives/edgar/data/1058307/000143774924037851/0001437749-24-037851.txt,0001058307,"NextPlat Corp  (NXPL, NXPLW)  (CIK 0001058307)",Nasdaq,4813,,,,"HALLANDALE BEACH","ANSIN BLVD SUITE A",400,NV,,,4813,"Telephone Communications (No Radiotelephone)"
2024-08-27,2024-08-27,8-K,,,,0001724521-24-000144,https://www.sec.gov/Archives/edgar/data/1724521/000172452124000144/0001724521-24-000144.txt,0001724521,"Arcus Biosciences, Inc.  (RCUS)  (CIK 0001724521)",NYSE,2834,,,,HAYWARD,"POINT EDEN WAY",3928,DE,,,2834,"Pharmaceutical Preparations"
2024-11-08,2024-11-08,8-K,,,,0001944831-24-000027,https://www.sec.gov/Archives/edgar/data/1944831/000194483124000027/0001944831-24-000027.txt,0001944831,"Willow Tree Capital Corp  (CIK 0001944831)",,,,,,"NEW YORK","PARK AVENUE 29TH FLOOR",450,MD,,,,
2024-04-01,2024-04-01,8-K,,,,0001108426-24-000017,https://www.sec.gov/Archives/edgar/data/1108426/000110842624000017/0001108426-24-000017.txt,0001108426,"PNM RESOURCES INC  (TXNM)  (CIK 0001108426)",NYSE,4911,,,,ALBUQUERQUE,"SILVER AVE. SW",414,NM,,,4911,"Electric Services"
2024-01-18,2024-01-22,8-K,,,,0001493152-24-003318,https://www.sec.gov/Archives/edgar/data/1834105/000149315224003318/0001493152-24-003318.txt,0001834105,"IMPACT BIOMEDICAL INC.  (IBO)  (CIK 0001834105)",NYSE,2834,,,,HOUSTON,"BROADFIELD BLVD. SUITE 130",1400,NV,,,2834,"Pharmaceutical Preparations"
2024-03-18,2024-03-18,8-K,,,,0001193125-24-070193,https://www.sec.gov/Archives/edgar/data/1571996/000119312524070193/0001193125-24-070193.txt,0001571996,"Dell Technologies Inc.  (DELL)  (CIK 0001571996)",NYSE,3571,,,,"ROUND ROCK","DELL WAY",ONE,DE,,,3571,"Electronic Computers"
2024-03-13,2024-03-13,8-K,,,,0001193125-24-066832,https://www.sec.gov/Archives/edgar/data/1552797/000119312524066832/0001193125-24-066832.txt,0001552797,"Delek Logistics Partners, LP  (DKL)  (CIK 0001552797)",NYSE,4610,,,,BRENTWOOD,"SEVEN SPRINGS WAY SUITE 500",310,TN,,,4610,"Pipe Lines (No Natural Gas)"
1970-01-01,2024-02-01,8-K,,,,0001213900-24-008552,https://www.sec.gov/Archives/edgar/data/1425287/000121390024008552/0001213900-24-008552.txt,0001425287,"Workhorse Group Inc.  (WKHS)  (CIK 0001425287)",Nasdaq,3711,,,,LOVELAND,"COMMERCE DRIVE",100,NV,,,3711,"Motor Vehicles & Passenger Car Bodies"
2024-03-07,2024-03-07,8-K,,,,0001193125-24-062174,https://www.sec.gov/Archives/edgar/data/1099219/000119312524062174/0001193125-24-062174.txt,0001099219,"METLIFE INC  (MET, MET-PA, MET-PE, MET-PF)  (CIK 0001099219)",NYSE,6311,,,,"NEW YORK","PARK AVENUE",200,DE,,,6311,"Life Insurance"
