idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
3146,1455684,2024,https://www.sec.gov/Archives/edgar/data/1455684/000095017025024274/tpic-20241231.htm,https://www.sec.gov/Archives/edgar/data/1455684/000095017024052152/tpic-20240331.htm,https://www.sec.gov/Archives/edgar/data/1455684/000095017024094107/tpic-20240630.htm,https://www.sec.gov/Archives/edgar/data/1455684/000095017024123380/tpic-20240930.htm,
3216,1136893,2024,https://www.sec.gov/Archives/edgar/data/1136893/000113689325000014/fis-20241231.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000063/fis-20240331.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000113/fis-20240630.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000139/fis-20240930.htm,
2146,320017,2024,https://www.sec.gov/Archives/edgar/data/320017/000032001725000011/lsta-20241231.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001724000031/lsta-20240331.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001724000051/lsta-20240630.htm,https://www.sec.gov/Archives/edgar/data/320017/000032001724000058/lsta-20240930.htm,
5330,1652044,2024,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm,
3944,1840502,2024,https://www.sec.gov/Archives/edgar/data/1840502/000184050225000019/tbla-20241231.htm,https://www.sec.gov/Archives/edgar/data/1840502/000114036124024776/ef20026314_10q.htm,https://www.sec.gov/Archives/edgar/data/1840502/000114036124035980/ef20030068_10q.htm,https://www.sec.gov/Archives/edgar/data/1840502/000114036124045484/ef20034533_10q.htm,
384,1551182,2024,https://www.sec.gov/Archives/edgar/data/1551182/000155118225000006/etn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118224000013/etn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118224000035/etn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118224000041/etn-20240930.htm,
2051,94049,2024,https://www.sec.gov/Archives/edgar/data/94049/000095017025029079/scl-20241231.htm,https://www.sec.gov/Archives/edgar/data/94049/000095017024055552/scl-20240331.htm,https://www.sec.gov/Archives/edgar/data/94049/000095017024093579/scl-20240630.htm,https://www.sec.gov/Archives/edgar/data/94049/000095017024121883/scl-20240930.htm,
2670,1376231,2024,https://www.sec.gov/Archives/edgar/data/1376231/000121390025032573/ea0237438-10k_vprbrand.htm,https://www.sec.gov/Archives/edgar/data/1376231/000121390024044299/ea0206099-10q_vprbrands.htm,https://www.sec.gov/Archives/edgar/data/1376231/000121390024070691/ea0211454-10q_vprbrands.htm,https://www.sec.gov/Archives/edgar/data/1376231/000121390024098454/ea0220577-10q_vprbrands.htm,
4459,1070680,2024,https://www.sec.gov/Archives/edgar/data/1070680/000107068025000010/cfbk-20241231x10k.htm,https://www.sec.gov/Archives/edgar/data/1070680/000107068024000017/cfbk-20240331x10q.htm,https://www.sec.gov/Archives/edgar/data/1070680/000107068024000027/cfbk-20240630x10q.htm,https://www.sec.gov/Archives/edgar/data/1070680/000107068024000033/cfbk-20240930x10q.htm,
784,1889112,2024,https://www.sec.gov/Archives/edgar/data/1889112/000141057825000584/tmb-20241231x10k.htm,https://www.sec.gov/Archives/edgar/data/1889112/000141057824000849/tmb-20240331x10q.htm,https://www.sec.gov/Archives/edgar/data/1889112/000141057824001337/tmb-20240630x10q.htm,https://www.sec.gov/Archives/edgar/data/1889112/000141057824001897/tmb-20240930x10q.htm,
