idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
6740,0001735707,2024,https://www.sec.gov/Archives/edgar/data/1735707/000173570725000013/gtx-20241231.htm,https://www.sec.gov/Archives/edgar/data/1735707/000173570724000025/gtx-20240331.htm,https://www.sec.gov/Archives/edgar/data/1735707/000173570724000044/gtx-20240630.htm,https://www.sec.gov/Archives/edgar/data/1735707/000173570724000057/gtx-20240930.htm,
4959,0001058307,2024,https://www.sec.gov/Archives/edgar/data/1058307/000143774925008787/nxpl20241231_10k.htm,https://www.sec.gov/Archives/edgar/data/1058307/000143774924017030/nxpl20240331_10q.htm,https://www.sec.gov/Archives/edgar/data/1058307/000143774924026477/nxpl20240630_10q.htm,https://www.sec.gov/Archives/edgar/data/1058307/000143774924034987/nxpl20240930c_10q.htm,
2873,0001724521,2024,https://www.sec.gov/Archives/edgar/data/1724521/000172452125000040/rcus-20241231.htm,https://www.sec.gov/Archives/edgar/data/1724521/000172452124000092/rcus-20240331.htm,https://www.sec.gov/Archives/edgar/data/1724521/000172452124000138/rcus-20240630.htm,https://www.sec.gov/Archives/edgar/data/1724521/000172452124000160/rcus-20240930.htm,
499,0001944831,2024,https://www.sec.gov/Archives/edgar/data/1944831/000194483125000007/wt-20241231.htm,,https://www.sec.gov/Archives/edgar/data/1944831/000194483124000010/wt-20240630.htm,https://www.sec.gov/Archives/edgar/data/1944831/000194483124000030/wt-20240930.htm,
7067,0001108426,2024,https://www.sec.gov/Archives/edgar/data/1108426/000110842625000014/pnm-20241231.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842624000041/pnm-20240331.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842624000068/pnm-20240630.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842624000096/pnm-20240930.htm,
265,0001834105,2024,https://www.sec.gov/Archives/edgar/data/1834105/000164117225001199/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1834105/000149315224018663/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1834105/000149315224031635/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1834105/000149315224044792/form10-q.htm,
2429,0001571996,2024,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/dell-20240202.htm,,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000062/dell-20240503.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000090/dell-20240802.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000143/dell-20241101.htm
984,0001552797,2024,https://www.sec.gov/Archives/edgar/data/1552797/000155279725000019/dkl-20241231.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279724000040/dkl-20240331.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279724000071/dkl-20240630.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279724000100/dkl-20240930.htm,
5069,0001425287,2024,https://www.sec.gov/Archives/edgar/data/1425287/000142528725000024/wkhs-20241231.htm,https://www.sec.gov/Archives/edgar/data/1425287/000142528724000101/wkhs-20240331.htm,https://www.sec.gov/Archives/edgar/data/1425287/000142528724000111/wkhs-20240630.htm,https://www.sec.gov/Archives/edgar/data/1425287/000142528724000131/wkhs-20240930.htm,
1203,0001099219,2024,https://www.sec.gov/Archives/edgar/data/1099219/000109921925000044/met-20241231.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921924000141/met-20240331.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921924000201/met-20240630.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921924000257/met-20240930.htm,
